"","common_name","sci_name","year","route_num","mbbs_county","count","Percent_change_from_previous_year"
"15148","Blue Jay","Cyanocitta cristata",2019,8,"orange",2,100
"15149","Blue Jay","Cyanocitta cristata",2019,9,"orange",3,50
"15150","Blue Jay","Cyanocitta cristata",2019,10,"orange",8,166.666666666667
"15151","Blue Jay","Cyanocitta cristata",2020,3,"orange",8,0
"15152","Blue Jay","Cyanocitta cristata",2020,4,"orange",2,-75
"15153","Blue Jay","Cyanocitta cristata",2020,5,"orange",6,200
"15154","Blue Jay","Cyanocitta cristata",2020,6,"orange",2,-66.6666666666667
"15155","Blue Jay","Cyanocitta cristata",2020,7,"orange",1,-50
"15156","Blue Jay","Cyanocitta cristata",2020,8,"orange",1,0
"15157","Blue Jay","Cyanocitta cristata",2020,9,"orange",4,300
"15158","Blue Jay","Cyanocitta cristata",2020,10,"orange",1,-75
"15159","Blue Jay","Cyanocitta cristata",2020,11,"orange",1,0
"15160","Blue Jay","Cyanocitta cristata",2020,12,"orange",2,100
"15161","Blue Jay","Cyanocitta cristata",2021,1,"orange",1,-50
"15162","Blue Jay","Cyanocitta cristata",2021,3,"orange",6,500
"15163","Blue Jay","Cyanocitta cristata",2021,4,"orange",3,-50
"15164","Blue Jay","Cyanocitta cristata",2021,5,"orange",3,0
"15165","Blue Jay","Cyanocitta cristata",2021,6,"orange",4,33.3333333333333
"15166","Blue Jay","Cyanocitta cristata",2021,10,"orange",1,-75
"15167","Blue Jay","Cyanocitta cristata",2021,11,"orange",3,200
"15168","Blue Jay","Cyanocitta cristata",2021,12,"orange",2,-33.3333333333333
"15169","Blue Jay","Cyanocitta cristata",2022,1,"orange",1,-50
"15170","Blue Jay","Cyanocitta cristata",2022,3,"orange",4,300
"15171","Blue Jay","Cyanocitta cristata",2022,4,"orange",5,25
"15172","Blue Jay","Cyanocitta cristata",2022,5,"orange",3,-40
"15173","Blue Jay","Cyanocitta cristata",2022,6,"orange",2,-33.3333333333333
"15174","Blue Jay","Cyanocitta cristata",2022,7,"orange",3,50
"15175","Blue Jay","Cyanocitta cristata",2022,8,"orange",1,-66.6666666666667
"15176","Blue Jay","Cyanocitta cristata",2022,9,"orange",3,200
"15177","Blue Jay","Cyanocitta cristata",2023,1,"orange",1,-66.6666666666667
"15178","Blue Jay","Cyanocitta cristata",2023,2,"orange",3,200
"15179","Blue Jay","Cyanocitta cristata",2023,3,"orange",3,0
"15180","Blue Jay","Cyanocitta cristata",2023,4,"orange",7,133.333333333333
"15181","Blue Jay","Cyanocitta cristata",2023,5,"orange",3,-57.1428571428571
"15182","Blue Jay","Cyanocitta cristata",2023,6,"orange",4,33.3333333333333
"15183","Blue Jay","Cyanocitta cristata",2023,9,"orange",4,0
"15184","Blue Jay","Cyanocitta cristata",2023,11,"orange",8,100
"15185","Blue Jay","Cyanocitta cristata",2023,12,"orange",2,-75
"15186","Blue-gray Gnatcatcher","Polioptila caerulea",1999,1,"orange",9,NA
"15187","Blue-gray Gnatcatcher","Polioptila caerulea",1999,2,"orange",8,NA
"15188","Blue-gray Gnatcatcher","Polioptila caerulea",1999,3,"orange",3,NA
"15189","Blue-gray Gnatcatcher","Polioptila caerulea",1999,4,"orange",2,NA
"15190","Blue-gray Gnatcatcher","Polioptila caerulea",1999,5,"orange",7,NA
"15191","Blue-gray Gnatcatcher","Polioptila caerulea",1999,6,"orange",11,NA
